modalidad_trabajo,genero,canal_reclutamiento,estado_civil,id_colaborador,id_ultimo_jefe,seniority,distancia_oficina,dias_baja_salud,permanencia_promedio,salario,performance_score,psi_score,abandono_6meses,edad_ingreso
Híbrida,Mujer,Ferias & Networking,Soltero,100247.0,102074.0,1.0,2.0,1.0,1.0,140011.0,99.0,75.0,0.0,19.0
Híbrida,Hombre,Ferias & Networking,Soltero,103355.0,102115.0,1.0,1.0,2.0,2.0,182774.0,99.0,81.0,1.0,25.0
Híbrida,Mujer,Referidos,Viudo,100669.0,102060.0,1.0,5.0,3.0,11.0,682106.0,96.0,74.0,0.0,45.0
Híbrida,Hombre,Linkedin,Soltero,103760.0,102062.0,1.0,13.0,2.0,2.0,270232.0,96.0,82.0,1.0,22.0
Híbrida,Hombre,Linkedin,Soltero,100965.0,102062.0,1.0,13.0,2.0,2.0,266804.0,95.0,82.0,0.0,22.0
Híbrida,Mujer,Portal Web,Soltero,101777.0,102078.0,1.0,1.0,2.0,3.0,366317.0,95.0,70.0,1.0,31.0
Híbrida,Hombre,Portal Web,Soltero,101793.0,102150.0,1.0,2.0,2.0,6.0,407557.0,95.0,69.0,1.0,38.0
Híbrida,Mujer,Portal Web,Soltero,101302.0,102088.0,1.0,2.0,1.0,4.0,851731.0,95.0,75.0,0.0,36.0
Híbrida,Mujer,Portal Web,Soltero,102687.0,102088.0,1.0,2.0,2.0,4.0,849922.0,95.0,75.0,0.0,36.0
Híbrida,Hombre,Linkedin,Divorciado,100846.0,102172.0,1.0,2.0,1.0,25.0,836766.0,93.0,86.0,0.0,53.0
Híbrida,Mujer,Linkedin,Divorciado,104000.0,102061.0,1.0,5.0,8.0,10.0,678511.0,93.0,87.0,1.0,46.0
Híbrida,Hombre,Portal Web,Viudo,103983.0,102140.0,1.0,4.0,10.0,9.0,859108.0,93.0,75.0,1.0,55.0
Híbrida,Hombre,Ferias & Networking,Soltero,101482.0,102070.0,1.0,2.0,3.0,2.0,230871.0,92.0,76.0,0.0,24.0
Híbrida,Hombre,Linkedin,Divorciado,102481.0,102172.0,1.0,2.0,2.0,25.0,835941.0,92.0,86.0,0.0,53.0
Híbrida,Mujer,Linkedin,Soltero,101068.0,102161.0,1.0,1.0,2.0,2.0,98281.0,91.0,74.0,0.0,22.0
Híbrida,Hombre,Portal Web,Soltero,101004.0,102026.0,1.0,2.0,5.0,3.0,116069.0,91.0,76.0,1.0,11.0
Híbrida,Mujer,Portal Web,Soltero,101846.0,102021.0,1.0,1.0,6.0,1.0,117243.0,91.0,69.0,1.0,13.0
Híbrida,Mujer,Ferias & Networking,Soltero,100452.0,102133.0,1.0,5.0,0.0,1.0,141964.0,91.0,77.0,0.0,21.0
Híbrida,Mujer,Portal Web,Soltero,100662.0,102132.0,1.0,3.0,1.0,3.0,140486.0,91.0,85.0,1.0,23.0
Híbrida,Hombre,Portal Web,Soltero,100173.0,102105.0,1.0,1.0,3.0,4.0,165504.0,91.0,64.0,0.0,23.0
Híbrida,Hombre,Portal Web,Casado,101766.0,102142.0,1.0,3.0,6.0,4.0,208877.0,91.0,74.0,0.0,29.0
Híbrida,Hombre,Portal Web,Casado,101871.0,102153.0,1.0,2.0,1.0,2.0,213892.0,91.0,73.0,0.0,27.0
Híbrida,Mujer,Portal Web,Casado,100195.0,102065.0,1.0,2.0,2.0,5.0,245440.0,91.0,77.0,1.0,23.0
Híbrida,Mujer,Referidos,Divorciado,100865.0,102102.0,1.0,1.0,2.0,7.0,266340.0,91.0,86.0,0.0,27.0
Híbrida,Hombre,Portal Web,Casado,101236.0,102025.0,1.0,5.0,3.0,3.0,291412.0,91.0,76.0,0.0,23.0
Híbrida,Hombre,Linkedin,Soltero,101866.0,102090.0,1.0,4.0,1.0,7.0,327254.0,91.0,89.0,0.0,29.0
Híbrida,Mujer,Linkedin,Casado,100142.0,102100.0,1.0,3.0,1.0,6.0,309121.0,91.0,74.0,0.0,28.0
Híbrida,Mujer,Linkedin,Soltero,100750.0,102068.0,1.0,4.0,0.0,4.0,306936.0,91.0,73.0,0.0,27.0
